0	0	0
0	0.2	0
0	0.4	0
0	0.6	0
0	0.8	0
0	1	0
0	1.2	0
0	1.4	0
0	1.6	0
0	1.8	0
0	2	0
0	2.2	0
0	2.4	0
0	2.6	0
0	2.8	0
0	3	0
0	3.2	0
0	3.4	0
0	3.6	0
0	3.8	0
0	4	0
0	4.2	0
0	4.4	0
0	4.6	0
0	4.8	0
0	5	0
0	5.2	0
0	5.4	0
0	5.6	0
0	5.8	0
0	6	0
0	6.2	0
0	6.4	0
0	6.6	0
0	6.8	0
0	7	0
0	7.2	0
0	7.4	0
0	7.6	0
0	7.8	0
0	8	0
0	8.2	0
0	8.4	0
0	8.6	0
0	8.8	0
0	9	0
0	9.2	0
0	9.4	0
0	9.6	0
0	9.8	0
0	10	0
0.002	0	0
0.002	0.2	0
0.002	0.4	0
0.002	0.6	0
0.002	0.8	0
0.002	1	0
0.002	1.2	0
0.002	1.4	0
0.002	1.6	0
0.002	1.8	0
0.002	2	0
0.002	2.2	0
0.002	2.4	0
0.002	2.6	0
0.002	2.8	0
0.002	3	0
0.002	3.2	0
0.002	3.4	0
0.002	3.6	0
0.002	3.8	0
0.002	4	0
0.002	4.2	0
0.002	4.4	0
0.002	4.6	0
0.002	4.8	0
0.002	5	0
0.002	5.2	0
0.002	5.4	0
0.002	5.6	0
0.002	5.8	0
0.002	6	0
0.002	6.2	0
0.002	6.4	0
0.002	6.6	0
0.002	6.8	0
0.002	7	0
0.002	7.2	0
0.002	7.4	0
0.002	7.6	0
0.002	7.8	0
0.002	8	0
0.002	8.2	0
0.002	8.4	0
0.002	8.6	0
0.002	8.8	0
0.002	9	0
0.002	9.2	0
0.002	9.4	0
0.002	9.6	0
0.002	9.8	0
0.002	10	0
0.004	0	0.447214
0.004	0.2	0
0.004	0.4	0
0.004	0.6	0
0.004	0.8	0
0.004	1	0
0.004	1.2	0
0.004	1.4	0
0.004	1.6	0
0.004	1.8	0
0.004	2	0
0.004	2.2	0
0.004	2.4	0
0.004	2.6	0
0.004	2.8	0
0.004	3	0
0.004	3.2	0
0.004	3.4	0
0.004	3.6	0
0.004	3.8	0
0.004	4	0
0.004	4.2	0
0.004	4.4	0
0.004	4.6	0
0.004	4.8	0
0.004	5	0
0.004	5.2	0
0.004	5.4	0
0.004	5.6	0
0.004	5.8	0
0.004	6	0
0.004	6.2	0
0.004	6.4	0
0.004	6.6	0
0.004	6.8	0
0.004	7	0
0.004	7.2	0
0.004	7.4	0
0.004	7.6	0
0.004	7.8	0
0.004	8	0
0.004	8.2	0
0.004	8.4	0
0.004	8.6	0
0.004	8.8	0
0.004	9	0
0.004	9.2	0
0.004	9.4	0
0.004	9.6	0
0.004	9.8	0
0.004	10	0
0.006	0	0.632456
0.006	0.2	0.0015772
0.006	0.4	0
0.006	0.6	0
0.006	0.8	0
0.006	1	0
0.006	1.2	0
0.006	1.4	0
0.006	1.6	0
0.006	1.8	0
0.006	2	0
0.006	2.2	0
0.006	2.4	0
